用户userId,订单编号order_no,用户编号是user_num,订单交易完成返券amount
1281192192112521217,1281526044716724225,5660702,2888.59
1281192192112521217,1281493306722746369,5660702,2888.59
1274971634614054913,1281133904190779394,3169234,2888.59
1080393446715252737,1280045689501442049,8633005,57.78
1080393446715252737,1280383849284595713,8633005,54.40
1272409968957403138,1283662955283484673,5063419,2.51
1242026339970560001,1283583539614330881,8836098,0.07
1281192192112521217,1281475861861629954,5660702,2888.59
1240155567446536194,1280079092632322049,6948821,3.45
1138388805277888513,1283588330579038209,746678,1.60
1281192192112521217,1281455757967007745,5660702,2888.59
1104938390993707010,1283219358100807681,5646832,28.89
1275727533477638145,1281189147532357633,5287753,28.89
1138388805277888513,1280469360367984642,746678,2888.59
1281192192112521217,1281195182368256002,5660702,2888.59
1282974804959227906,1283389501170851842,8645877,9.38
1240204312292864002,1281068086954319874,4223317,4.80
1281192192112521217,1282492649864982530,5660702,2888.59
1273448094765047810,1280050692123320321,8074627,28.89
1240155567446536194,1283673306171473922,6948821,4.80
1281192192112521217,1281479728213000194,5660702,2888.59
1281192192112521217,1281525801874911234,5660702,2888.59
1277124074708840449,1283943179472637953,1818339,2888.59
1203989896610344962,1283232153999536129,6416412,2888.59
1240155567446536194,1282879556285485058,6948821,20.00
1080393446715252737,1281189724098162690,8633005,0.98
1260850983309578241,1285492328227713025,838228,502.45
1133301317303783426,1282862656402870273,2983858,2888.59
1272711938234540033,1283682041216495618,9685314,2888.59
1281192192112521217,1281405758201688065,5660702,2888.59
1281192192112521217,1281194197910581250,5660702,8665.77
1242026339970560001,1282634878688481282,8836098,0.02
1282974804959227906,1283660721120350210,8645877,0.10
1240155567446536194,1280825338238111745,6948821,2.40
1252502657459777537,1281836552825184257,1929926,2888.59
1242026339970560001,1282582562300002306,8836098,2888.59
1104938390993707010,1280069875066273793,5646832,5.00
1240114642758381570,1280462830675517442,8709371,28.89
1080393446715252737,1282504569338753026,8633005,2888.59
1282974804959227906,1283339985394671618,8645877,102.56
1203989896610344962,1283235914520227842,6416412,2888.59
1273448564455792642,1280063667219464194,3327810,28.89
1080393446715252737,1281420102398398465,8633005,2888.59
1281192192112521217,1281497092681891841,5660702,2888.59
1138388805277888513,1282632857067573249,746678,4.80
1240155567446536194,1280804277517848578,6948821,144.44
1240114642758381570,1280462033564819457,8709371,2888.59
1282549822823264258,1282570663860678658,1477108,2888.59
1130656123685101569,1282494636094418946,2920577,2888.59
1240155567446536194,1280804114208428033,6948821,2888.59
1281192192112521217,1283651976655015937,5660702,2888.59
1283364520284057601,1283367878220853250,7156894,2888.59
1273889183779172354,1283952384392859649,922216,0.95
1104938390993707010,1283238423905173505,5646832,2888.59
1280078114057019393,1283355646082691074,4809401,2888.59
1080393446715252737,1283369631981051905,8633005,1.98
1080393446715252737,1281058597135998978,8633005,1.98
1080393446715252737,1281158615536783361,8633005,2888.59
1282974804959227906,1283305122667016193,8645877,100.00
1281465764819169282,1282999297289273345,337081,2888.59
1281192192112521217,1281414587295494146,5660702,2888.59
1240155567446536194,1280754238246404097,6948821,657.10
1282974804959227906,1283949344554258433,8645877,1.36
1260850983309578241,1283740138500820994,838228,2888.59
1111159864028975105,1280778739946291202,6981868,2.64
1080393446715252737,1283327611753275394,8633005,2.56
1276762308946604033,1280394732610064385,4617752,57.78
1273089313493377026,1282569859711922178,7504189,2888.59
1268371418964242434,1280063464433254402,4574630,0.05
1240114642758381570,1280752685401776129,8709371,2.20
1131399296174772226,1283681956101480449,9509569,2888.59
1138388805277888513,1280331380965863426,746678,144.44
1273447756230189058,1283639954806673409,2896575,2888.59
1240155567446536194,1280804748206837761,6948821,144.44
1272498055800578049,1283219943181074434,8472291,2888.59
1272410117037305858,1283361117606785026,6966737,2888.59
1080393446715252737,1282617535132446722,8633005,2888.59
1275727533477638145,1281140486538653698,5287753,28.89
1080393446715252737,1281161953347129345,8633005,2888.59
1240155567446536194,1280377923634790401,6948821,144.44
1273447756230189058,1283640244335284225,2896575,34.94
1240204312292864002,1280821350868475905,4223317,2888.59
1281192192112521217,1281414399164182529,5660702,2888.59
1282974804959227906,1283344675394101250,8645877,2.76
1240114642758381570,1280412101701042177,8709371,4.95
1130656123685101569,1283721846163804161,2920577,2888.59
1240155567446536194,1280804199398936577,6948821,2888.59
1080393446715252737,1277124213433487361,8633005,1.98
1080393446715252737,1282502275880820737,8633005,2888.59
1240155567446536194,1282974606050766849,6948821,2.40
1281192192112521217,1281474200342626306,5660702,2888.59
1281192192112521217,1281474102401433601,5660702,57.78
1080393446715252737,1280342393543028737,8633005,2.56
1103898493470105602,1284058336169324545,7170287,999.50
1203989896610344962,1282861931044130818,6416412,2888.59
1282549822823264258,1282584790209429506,1477108,2888.59
1240155567446536194,1280378257849516033,6948821,144.44
1080393446715252737,1281172095836901378,8633005,1015.46
1240155567446536194,1280378056673918978,6948821,144.44
1104938390993707010,1283022761014386690,5646832,2888.59
1240155567446536194,1280377829099372545,6948821,144.44
1104938390993707010,1281540255450767362,5646832,2888.59
1277125858433085442,1283369334168629249,7035158,2888.59
1240155567446536194,1280055990259089409,6948821,5.00
1080393556668932098,1280068373685731329,8968396,433.33
1281192192112521217,1281459468093136897,5660702,2888.59
1281192192112521217,1282525179951476737,5660702,2888.59
1252502657459777537,1280393504865976322,1929926,144.44
1242026339970560001,1282582775471308801,8836098,1.50
1138388805277888513,1281135467353354242,746678,2888.59
1281192192112521217,1281504402846380034,5660702,2888.59
1080392116667899905,1283729912749920258,942096,2888.59
1274971634614054913,1281195547184623618,3169234,2888.59
1138388805277888513,1281135027534442497,746678,144.44
1080393446715252737,1282475480452198402,8633005,2.46
1248530202181427202,1277063483241844738,1797173,6.64
1080393446715252737,1275629385923235842,8633005,0.34
1203989896610344962,1283232457952358401,6416412,2888.59
1282578217309237249,1283356609686286337,2437,2888.59
1240101212374675458,1280406835957927937,5618752,144.44
1281192192112521217,1281458058165264386,5660702,2888.59
1282974804959227906,1283618586857869314,8645877,14.14
1273448564455792642,1280050692437893121,3327810,28.89
1240114642758381570,1280462448708640770,8709371,10.00
1104938390993707010,1281834913833787393,5646832,2888.59
1281192192112521217,1281491134446567425,5660702,57.78
1272728001588387842,1280755726834212865,2518814,2888.59
1240522715020898305,1282976364219097090,4897124,2888.59
1242026339970560001,1282595179466883073,8836098,0.02
1281192192112521217,1281457835623882753,5660702,57.78
1281192192112521217,1281200632920829953,5660702,57.78
1276762308946604033,1280405149654781954,4617752,57.78
1274971634614054913,1281139611044802562,3169234,2888.59
1138388805277888513,1284311773855383554,746678,87.38
1242026339970560001,1283707504819212290,8836098,0.12
1273449201574789121,1282916150304362497,114237,2888.59
1107563613752545282,1282603675201601538,5937217,2888.59
1240155567446536194,1280377721880379394,6948821,144.44
1104938390993707010,1281504449054920706,5646832,2888.59
1242657045943873537,1283371670001692673,6618951,2888.59
1240523755279593474,1282976890738466818,3000381,2888.59
1282974804959227906,1283347775613902850,8645877,102.60
1276762308946604033,1280383835216900097,4617752,57.04
1103951691392106497,1283594652053680130,9126701,99.95
1111159864028975105,1280036148581638145,6981868,2.64
1240155567446536194,1280378166367551490,6948821,144.44
1138388805277888513,1283646267947225090,746678,75.40
1080393446715252737,1281497155504177153,8633005,1019.62
1240155567446536194,1281779966303903746,6948821,4.80
1104938390993707010,1283384776497049601,5646832,2888.59
1268371418964242434,1285156041260052481,4574630,35.00
1275727533477638145,1281140339024982018,5287753,2888.59
1111159864028975105,1275248478894665730,6981868,0.36
1240155567446536194,1280827019067691010,6948821,4.80
1281192192112521217,1281453856122773505,5660702,57.78
1273084144122748929,1284024744856788994,3670437,2888.59
1272374460675993601,1282974920820678658,9310461,2888.59
1080393446715252737,1280405145296900097,8633005,2888.59
1138388805277888513,1281426101121347585,746678,140.35
1273449159187152898,1281495893232582657,4977018,2888.59
1276762308946604033,1280384916902735874,4617752,0.84
1281192192112521217,1281408647238283266,5660702,57.78
1138388805277888513,1280027156772085761,746678,144.44
1240155567446536194,1280808786428190722,6948821,2888.59
1240155567446536194,1280055835757707266,6948821,3.45
1104938390993707010,1283589786388410370,5646832,28.89
1281192192112521217,1281504162701504513,5660702,57.78
1080393446715252737,1280394581262823425,8633005,57.78
1080393446715252737,1282617755731865602,8633005,2888.59
1242026339970560001,1283683797740679170,8836098,15.05
1272409968957403138,1283694701911773186,5063419,80.72
1274971634614054913,1281188929982197762,3169234,0.18
1240155567446536194,1280804587816652802,6948821,2888.59
1281192192112521217,1281524660281831425,5660702,2888.59
1203989896610344962,1283233745876316162,6416412,2888.59
1111159864028975105,1275354924214890497,6981868,0.36
1242026339970560001,1283335601097089025,8836098,2888.59
1282974804959227906,1283308668980338689,8645877,199.98
1281192192112521217,1281497423037857794,5660702,57.78
1281192192112521217,1281466261397610498,5660702,57.78
1252502657459777537,1281836446541520897,1929926,2888.59
1281192192112521217,1281454194959622145,5660702,2888.59
1203989896610344962,1283233291582861314,6416412,2888.59
1283357202079215617,1283357523625127937,2107017,2888.59
1240155567446536194,1280804684772184065,6948821,2888.59
1280078114057019393,1283355247296655362,4809401,2888.59
1080393446715252737,1282492011542323202,8633005,2888.59
1111159864028975105,1275713965730541570,6981868,2.64
1203989896610344962,1283233573368786946,6416412,2888.59
1080393446715252737,1281068205682483202,8633005,2.56
1240114642758381570,1280817504209362946,8709371,37.90
1240155567446536194,1281780162601525249,6948821,4.80
1104938390993707010,1283220735313108993,5646832,2888.59
1277204309206822913,1281138816593293314,9639240,2888.59
1240104502894243841,1282917693023899650,8947338,2888.59
1281192192112521217,1281490779688140801,5660702,2888.59
1203989896610344962,1283232848790188034,6416412,2888.59
1111159864028975105,1275714614945886210,6981868,2.64
1240155567446536194,1280832962497122306,6948821,2.40
1282974804959227906,1283581156977020930,8645877,5.52
1122390058525941762,1283585143243542530,1366567,2888.59
1272357677495693314,1282620293801627649,1546743,2888.59
1282973504141979650,1285131504124473346,1333853,103989.28
1277204309206822913,1280812687135105026,9639240,2888.59
1274961613188673537,1282506221475098626,1840957,0.20
1104938390993707010,1283225407683878914,5646832,28.89
1138388805277888513,1282999057517690882,746678,0.05
1111159864028975105,1280331203359948802,6981868,15.84
1281192192112521217,1282513561259634689,5660702,2888.59
1282974804959227906,1283334861989421057,8645877,102.36
1104938390993707010,1283020399927418881,5646832,2888.59
1281192192112521217,1281195674230091777,5660702,57.78
1242026339970560001,1283687445359005698,8836098,2888.59
1282549822823264258,1282584993545093122,1477108,2888.59
1281829670435614721,1283363734521131010,7486506,2888.59
1282974804959227906,1283735103394058242,8645877,0.02
1111159864028975105,1275714059452264449,6981868,2.64
1242341376207597570,1283366667052658690,158120,2888.59
1281192192112521217,1281193321762418689,5660702,2888.59
1240101212374675458,1280406332901494785,5618752,144.44
1080393446715252737,1283002828687720449,8633005,20.08
1283364520284057601,1283647344146964481,7156894,1.50
1104938390993707010,1281503916525113345,5646832,2888.59
1080393446715252737,1282631381083541505,8633005,2.56
1242026339970560001,1283957494808350721,8836098,30.02
1104938390993707010,1284321181482213377,5646832,2888.59
1273896593528893442,1280816849239433218,6337281,2888.59
1203989896610344962,1282861792149753857,6416412,2888.59
1281192192112521217,1282527923403780098,5660702,2888.59
1107563613752545282,1283695233346953217,5937217,0.96
1138388805277888513,1282643113743077377,746678,2888.59
1111159864028975105,1281510434395865090,6981868,2.64
1274961613188673537,1282506369987014658,1840957,0.20
1240155567446536194,1280823500898078722,6948821,2.40
1240155567446536194,1283676613237661698,6948821,4.80
1104938390993707010,1283384445960728577,5646832,2888.59
1282974804959227906,1283682560047706114,8645877,1.20
1276762308946604033,1280341643173654530,4617752,28.89
1282974804959227906,1283735769378230274,8645877,51.26
1281192192112521217,1281408257075736578,5660702,2888.59
1283282456914358273,1283360052287123458,2072388,2888.59
1138388805277888513,1281405878678876161,746678,45.35
1281192192112521217,1283636807224791041,5660702,2888.59
1277125858433085442,1283383915288997890,7035158,2888.59
1131399296174772226,1280795312746754049,9509569,0.80
1241920041245454337,1282977411083821057,8553010,2888.59
1273889183779172354,1280816849780498434,922216,2888.59
1104938390993707010,1283221349220802561,5646832,28.89
1281192192112521217,1281466918103982081,5660702,2888.59
1242026339970560001,1282634284070391810,8836098,1.50
1203989896610344962,1283231252639412225,6416412,2888.59
1138388805277888513,1280752695707181057,746678,2.20
1270966403664392193,1280754909544718337,7498428,2888.59
1104938390993707010,1283679634197700610,5646832,28.89
1281192192112521217,1281480453223612417,5660702,2888.59
1104938390993707010,1283685949066305538,5646832,2888.59
1282973504141979650,1285131988918906881,1333853,2888.59
1281192192112521217,1281408070223687682,5660702,2888.59
1282549822823264258,1282584672248823809,1477108,2888.59
1272409968957403138,1283702276724133890,5063419,2.51
1281192192112521217,1281480343085383682,5660702,57.78
1273449159187152898,1284369299170947073,4977018,2.29
1111159864028975105,1275714729714626562,6981868,2.64
1282549822823264258,1282587600539910146,1477108,2888.59
1241925350848442370,1283289597027057665,3433041,2888.59
1281192192112521217,1281466668601614337,5660702,2888.59
1130656123685101569,1280030228357373954,2920577,144.44
1283357202079215617,1283357698221420545,2107017,2888.59
1240155567446536194,1280825125083582466,6948821,2.40
1138388805277888513,1282640842078670849,746678,2888.59
1080393446715252737,1280331386514927617,8633005,57.78
1080393446715252737,1280027163164205057,8633005,57.78
1282974804959227906,1283946935174074369,8645877,2.88
1276762308946604033,1280032445168672769,4617752,28.89
1281192192112521217,1281192903858745346,5660702,2888.59
1272711938234540033,1282594048271482882,9685314,2888.59
1240155567446536194,1281783151307366401,6948821,18.75
1281192192112521217,1281477484612681730,5660702,57.78
1281192192112521217,1281406100956016642,5660702,57.78
1104938390993707010,1283011844298043393,5646832,2888.59
1240114642758381570,1280417615507914753,8709371,2888.59
1274971634614054913,1281193706480758785,3169234,57.78
1252502657459777537,1283393110230970369,1929926,2888.59
1111159864028975105,1280071330634301442,6981868,1.34
1281192192112521217,1281200057227440130,5660702,2888.59
1281192192112521217,1281200451202609153,5660702,2888.59
1276762308946604033,1280342157500182529,4617752,1.50
1138388805277888513,1283593297532641282,746678,0.05
1272409968957403138,1283583719646433281,5063419,2888.59
1276762308946604033,1280341866822332417,4617752,28.89
1242026339970560001,1282932001589972993,8836098,0.02
1131399296174772226,1280790379670630402,9509569,2888.59
1240155567446536194,1281779639190134786,6948821,4.80
1203989896610344962,1282874289963454466,6416412,2888.59
1080393446715252737,1280046084231585794,8633005,57.78
1111159864028975105,1280085354985996289,6981868,6.70
1240155567446536194,1280807684634861570,6948821,2888.59
1240204312292864002,1281058414490836994,4223317,4.95
1080393446715252737,1280384936955703298,8633005,0.89
1138388805277888513,1280412114321702914,746678,4.95
1240155567446536194,1281057076457541634,6948821,4.80
1103898493470105602,1283583033571545090,7170287,2888.59
1275727533477638145,1281188856342802433,5287753,2888.59
1104938390993707010,1283220018724659202,5646832,2888.59
1138388805277888513,1283644018432937986,746678,135.40
1274971634614054913,1281139389438750722,3169234,28.89
1111159864028975105,1274967670770290689,6981868,5.08
1138388805277888513,1283601266290778114,746678,0.35
1240155567446536194,1280778721694892033,6948821,4.80
1272409968957403138,1283683608091029505,5063419,4.72
1281192192112521217,1281418801325305858,5660702,57.78
1281192192112521217,1281194677684432898,5660702,28.89
1248530202181427202,1284037263776370690,1797173,2888.59
1272409968957403138,1283650317207998466,5063419,2.47
1080393446715252737,1280030904105885698,8633005,57.78
1240155567446536194,1280755563763908609,6948821,437.65
1281192192112521217,1281496862129389569,5660702,57.78
1277204309206822913,1281175454186852354,9639240,57.77
1276762308946604033,1280750452824088577,4617752,2868.59
1080392116667899905,1282623178459369473,942096,34.40
1130656123685101569,1280095063459770370,2920577,144.44
1274971634614054913,1281193941198204929,3169234,2888.59
1240155567446536194,1282875114387525633,6948821,2888.59
1239807426398498817,1280041510422765570,7411370,144.44
1272409968957403138,1283733894289461249,5063419,2878.59
1111159864028975105,1280082501340938242,6981868,6.70
1240104502894243841,1282932549810671618,8947338,0.23
1203989896610344962,1282878912166154242,6416412,2888.59
1138388805277888513,1282642786402816001,746678,2888.59
1274961613188673537,1282505070692298754,1840957,2888.59
1103951691392106497,1283594799680598018,9126701,2888.59
1281192192112521217,1281474694494552065,5660702,57.78
1274971634614054913,1281133470323585026,3169234,28.89
